firm_name,city,state,country,principal_architect,year_established,scale,primary_typology,secondary_typology,design_orientation,technical_orientation,bim_usage,internship_potential,,,,,,,,
firm_name,city,state,country,principal_architect,year_established,scale,primary_typology,secondary_typology,design_orientation,technical_orientation,bim_usage,internship_potential,,,,,,,,
firm_name,New Delhi,Delhi,India,Sidhartha Talwar,2002,Mid-size,Cultural,Institutional,Contextual,Sustainable,Partial,High,,,,,,,,
firm_name,New Delhi,Delhi,India,Sonali Rastogi,1996,Large,Institutional,Commercial,Sustainable,High-performance,Yes,High,,,,,,,,
firm_name,New Delhi,Delhi,India,Dikshu Kukreja,1969,Large,Urban Infrastructure,Housing,Contemporary,Technical,Yes,High,,,,,,,,
firm_name,Gurugram,Haryana,India,Sunita Kohli,2010,Mid-size,Hospitality,Residential,Luxury,Detail-driven,Partial,Medium,,,,,,,,
firm_name,New Delhi,Delhi,India,Akshat Bhatt,2007,Mid-size,Residential,Institutional,Modernist,Material-focused,Partial,High,,,,,,,,
firm_name,New Delhi,Delhi,India,Anubhav Gupta,2001,Mid-size,Housing,Urban Design,Climate-responsive,Technical,Yes,High,,,,,,,,
firm_name,New Delhi,Delhi,India,Raj Rewal,1974,Large,Institutional,Cultural,Modernist,Concrete systems,No,Medium,,,,,,,,
firm_name,Mumbai,Maharashtra,India,Sanjay Puri,1992,Large,Mixed-use,Residential,Parametric,Computational,Yes,High,,,,,,,,
firm_name,Mumbai,Maharashtra,India,Hemal Talati,1964,Large,High-rise,Commercial,Corporate,Structural,BIM-heavy,High,,,,,,,,
firm_name,Mumbai,Maharashtra,India,Krupa Zubin,2004,Mid-size,Luxury Residential,Hospitality,Interior-focused,Detail-oriented,Partial,Medium,,,,,,,,
firm_name,Mumbai,Maharashtra,India,Sameep Padora,2007,Mid-size,Institutional,Cultural,Research-driven,Material experimentation,Partial,High,,,,,,,,
firm_name,Mumbai,Maharashtra,India,Ravi Sarangan,1989,Large,Corporate,Commercial,Technical,Execution-heavy,Yes,High,,,,,,,,
